Dataset,Full name dataset,CxG link,h5ad link,Reference_DOI,Bionetworks reference,Bionetworks reference,Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection,Is the dataset Normal or Normal/Diseased,Stage
Human Multiple Cortical Areas SMART-seq,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/a5d5c529-8a1f-40b5-bda3-35208970070d.cxg/,https://datasets.cellxgene.cziscience.com/77a91ab6-4fcc-428d-b719-a3f1238df262.h5ad,DOI: 10.1126/science.adf6812,,T,T,Tissue (RIN),other,abbreviation,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Human Multiple Cortical Areas SMART-seq,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/a5d5c529-8a1f-40b5-bda3-35208970070d.cxg/,https://datasets.cellxgene.cziscience.com/77a91ab6-4fcc-428d-b719-a3f1238df262.h5ad,DOI: 10.1126/science.adf6812,,T,T,cause_of_death,other,normal,cardiovascular disease mitral valve prolapse,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Human Multiple Cortical Areas SMART-seq,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/a5d5c529-8a1f-40b5-bda3-35208970070d.cxg/,https://datasets.cellxgene.cziscience.com/77a91ab6-4fcc-428d-b719-a3f1238df262.h5ad,DOI: 10.1126/science.adf6812,,T,T,cell_type_accession,other,abbreviation,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Human Multiple Cortical Areas SMART-seq,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/a5d5c529-8a1f-40b5-bda3-35208970070d.cxg/,https://datasets.cellxgene.cziscience.com/77a91ab6-4fcc-428d-b719-a3f1238df262.h5ad,DOI: 10.1126/science.adf6812,,T,T,cell_type_designation,other,normal,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Human Multiple Cortical Areas SMART-seq,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/a5d5c529-8a1f-40b5-bda3-35208970070d.cxg/,https://datasets.cellxgene.cziscience.com/77a91ab6-4fcc-428d-b719-a3f1238df262.h5ad,DOI: 10.1126/science.adf6812,,T,T,cortical_layer,other,abbreviations,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Human Multiple Cortical Areas SMART-seq,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/a5d5c529-8a1f-40b5-bda3-35208970070d.cxg/,https://datasets.cellxgene.cziscience.com/77a91ab6-4fcc-428d-b719-a3f1238df262.h5ad,DOI: 10.1126/science.adf6812,,T,T,outlier_call,other,X,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Human Multiple Cortical Areas SMART-seq,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/a5d5c529-8a1f-40b5-bda3-35208970070d.cxg/,https://datasets.cellxgene.cziscience.com/77a91ab6-4fcc-428d-b719-a3f1238df262.h5ad,DOI: 10.1126/science.adf6812,,T,T,outlier_type,other,X,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
Human Multiple Cortical Areas SMART-seq,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,https://cellxgene.cziscience.com/e/a5d5c529-8a1f-40b5-bda3-35208970070d.cxg/,https://datasets.cellxgene.cziscience.com/77a91ab6-4fcc-428d-b719-a3f1238df262.h5ad,DOI: 10.1126/science.adf6812,,T,T,region,other,abbreviation,,Jorstad et al. (2023) Science,https://cellxgene.cziscience.com/collections/d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,broad_cell_type,cell types,normal,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,author_cell_type,cell types,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,10XBatch,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,AgeGroup,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,CauseOfDeath_category,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,ID,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,SequencingPool,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,donor_cause_of_death,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,library_uuid,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,sample_uuid,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,suspension_uuid,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
white matter - all cells,"Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function",https://cellxgene.cziscience.com/e/c05e6940-729c-47bd-a2a6-6ce3730c4919.cxg/,https://datasets.cellxgene.cziscience.com/79772e00-00d5-497e-b8ff-f83af5ce59c1.h5ad,https://doi.org/10.1186/s40478-023-01568-z,,T,T,tissue_handling_interval,other,abbreviations,,Seeker et al. (2023) acta neuropathol commun,https://cellxgene.cziscience.com/collections/9d63fcf1-5ca0-4006-8d8f-872f3327dbe9,Normal,Adult
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse","Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",https://cellxgene.cziscience.com/e/9b686bb6-1427-4e13-b451-7ee961115cf9.cxg/,https://datasets.cellxgene.cziscience.com/1af9835f-469e-452f-a91d-f42af3f91042.h5ad,https://doi.org/10.1038/s41586-021-03465-8,,T,T,BICCN_cluster_label,cell types,abbreviations,,Bakken et al. (2021) Nature,https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee,Normal,Adult
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse","Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",https://cellxgene.cziscience.com/e/9b686bb6-1427-4e13-b451-7ee961115cf9.cxg/,https://datasets.cellxgene.cziscience.com/1af9835f-469e-452f-a91d-f42af3f91042.h5ad,https://doi.org/10.1038/s41586-021-03465-8,,T,T,BICCN_subclass_label,cell types,abbreviations,,Bakken et al. (2021) Nature,https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee,Normal,Adult
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse","Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",https://cellxgene.cziscience.com/e/9b686bb6-1427-4e13-b451-7ee961115cf9.cxg/,https://datasets.cellxgene.cziscience.com/1af9835f-469e-452f-a91d-f42af3f91042.h5ad,https://doi.org/10.1038/s41586-021-03465-8,,T,T,label_for_heatmap,cell types,abbreviations,,Bakken et al. (2021) Nature,https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee,Normal,Adult
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse","Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",https://cellxgene.cziscience.com/e/9b686bb6-1427-4e13-b451-7ee961115cf9.cxg/,https://datasets.cellxgene.cziscience.com/1af9835f-469e-452f-a91d-f42af3f91042.h5ad,https://doi.org/10.1038/s41586-021-03465-8,,T,T,cluster_color,other,abbreviations,,Bakken et al. (2021) Nature,https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee,Normal,Adult
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse","Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",https://cellxgene.cziscience.com/e/9b686bb6-1427-4e13-b451-7ee961115cf9.cxg/,https://datasets.cellxgene.cziscience.com/1af9835f-469e-452f-a91d-f42af3f91042.h5ad,https://doi.org/10.1038/s41586-021-03465-8,,T,T,integrated_snn_res.6,other,abbreviations,,Bakken et al. (2021) Nature,https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee,Normal,Adult
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse","Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",https://cellxgene.cziscience.com/e/9b686bb6-1427-4e13-b451-7ee961115cf9.cxg/,https://datasets.cellxgene.cziscience.com/1af9835f-469e-452f-a91d-f42af3f91042.h5ad,https://doi.org/10.1038/s41586-021-03465-8,,T,T,sample_id,other,abbreviations,,Bakken et al. (2021) Nature,https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee,Normal,Adult
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse","Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",https://cellxgene.cziscience.com/e/9b686bb6-1427-4e13-b451-7ee961115cf9.cxg/,https://datasets.cellxgene.cziscience.com/1af9835f-469e-452f-a91d-f42af3f91042.h5ad,https://doi.org/10.1038/s41586-021-03465-8,,T,T,seurat_clusters,other,abbreviations,,Bakken et al. (2021) Nature,https://cellxgene.cziscience.com/collections/367d95c0-0eb0-4dae-8276-9407239421ee,Normal,Adult
snRNA-seq of human anterior and posterior hippocampus,Resolving cellular and molecular diversity along the hippocampal anterior-to-posterior axis in humans,https://cellxgene.cziscience.com/e/94c41723-b2c4-4b59-a49a-64c9b851903e.cxg/,https://datasets.cellxgene.cziscience.com/3f096be5-dedf-4f7b-a8ed-8d309d18bbde.h5ad,https://doi.org/10.1016/j.neuron.2021.05.003,,T,T,author_cell_type,cell types,abbreviations,,Ayhan et al. (2021) Neuron,https://cellxgene.cziscience.com/collections/f17b9205-f61f-4a0f-a65a-73ba91c50ade,Normal,Adult
snRNA-seq of human anterior and posterior hippocampus,Resolving cellular and molecular diversity along the hippocampal anterior-to-posterior axis in humans,https://cellxgene.cziscience.com/e/94c41723-b2c4-4b59-a49a-64c9b851903e.cxg/,https://datasets.cellxgene.cziscience.com/3f096be5-dedf-4f7b-a8ed-8d309d18bbde.h5ad,https://doi.org/10.1016/j.neuron.2021.05.003,,T,T,batch,other,abbreviations,,Ayhan et al. (2021) Neuron,https://cellxgene.cziscience.com/collections/f17b9205-f61f-4a0f-a65a-73ba91c50ade,Normal,Adult
snRNA-seq of human anterior and posterior hippocampus,Resolving cellular and molecular diversity along the hippocampal anterior-to-posterior axis in humans,https://cellxgene.cziscience.com/e/94c41723-b2c4-4b59-a49a-64c9b851903e.cxg/,https://datasets.cellxgene.cziscience.com/3f096be5-dedf-4f7b-a8ed-8d309d18bbde.h5ad,https://doi.org/10.1016/j.neuron.2021.05.003,,T,T,group,other,abbreviations,,Ayhan et al. (2021) Neuron,https://cellxgene.cziscience.com/collections/f17b9205-f61f-4a0f-a65a-73ba91c50ade,Normal,Adult
snRNA-seq of human anterior and posterior hippocampus,Resolving cellular and molecular diversity along the hippocampal anterior-to-posterior axis in humans,https://cellxgene.cziscience.com/e/94c41723-b2c4-4b59-a49a-64c9b851903e.cxg/,https://datasets.cellxgene.cziscience.com/3f096be5-dedf-4f7b-a8ed-8d309d18bbde.h5ad,https://doi.org/10.1016/j.neuron.2021.05.003,,T,T,hemisphere,other,abbreviations,,Ayhan et al. (2021) Neuron,https://cellxgene.cziscience.com/collections/f17b9205-f61f-4a0f-a65a-73ba91c50ade,Normal,Adult
snRNA-seq of human anterior and posterior hippocampus,Resolving cellular and molecular diversity along the hippocampal anterior-to-posterior axis in humans,https://cellxgene.cziscience.com/e/94c41723-b2c4-4b59-a49a-64c9b851903e.cxg/,https://datasets.cellxgene.cziscience.com/3f096be5-dedf-4f7b-a8ed-8d309d18bbde.h5ad,https://doi.org/10.1016/j.neuron.2021.05.003,,T,T,orig.ident,other,abbreviations,,Ayhan et al. (2021) Neuron,https://cellxgene.cziscience.com/collections/f17b9205-f61f-4a0f-a65a-73ba91c50ade,Normal,Adult
snRNA-seq of human anterior and posterior hippocampus,Resolving cellular and molecular diversity along the hippocampal anterior-to-posterior axis in humans,https://cellxgene.cziscience.com/e/94c41723-b2c4-4b59-a49a-64c9b851903e.cxg/,https://datasets.cellxgene.cziscience.com/3f096be5-dedf-4f7b-a8ed-8d309d18bbde.h5ad,https://doi.org/10.1016/j.neuron.2021.05.003,,T,T,seurat_clusters,other,abbreviations,,Ayhan et al. (2021) Neuron,https://cellxgene.cziscience.com/collections/f17b9205-f61f-4a0f-a65a-73ba91c50ade,Normal,Adult
Single-nucleus transcriptome data from the dlPFC,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,https://cellxgene.cziscience.com/e/3c361813-5d5e-4868-bfe5-e7591e7b5381.cxg/,https://datasets.cellxgene.cziscience.com/d25fc11f-5790-4a62-af67-e6e58816194e.h5ad,DOI: 10.1126/science.abo7257,,T,T,subclass,cell types,abbreviations,,Ma et al. (2022) Science,https://cellxgene.cziscience.com/collections/e1fa9900-3fc9-4b57-9dce-c95724c88716,Normal,Adult
Single-nucleus transcriptome data from the dlPFC,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,https://cellxgene.cziscience.com/e/3c361813-5d5e-4868-bfe5-e7591e7b5381.cxg/,https://datasets.cellxgene.cziscience.com/d25fc11f-5790-4a62-af67-e6e58816194e.h5ad,DOI: 10.1126/science.abo7257,,T,T,subtype,cell types,abbreviations,,Ma et al. (2022) Science,https://cellxgene.cziscience.com/collections/e1fa9900-3fc9-4b57-9dce-c95724c88716,Normal,Adult
Single-nucleus transcriptome data from the dlPFC,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,https://cellxgene.cziscience.com/e/3c361813-5d5e-4868-bfe5-e7591e7b5381.cxg/,https://datasets.cellxgene.cziscience.com/d25fc11f-5790-4a62-af67-e6e58816194e.h5ad,DOI: 10.1126/science.abo7257,,T,T,class,cell types,abbreviations,,Ma et al. (2022) Science,https://cellxgene.cziscience.com/collections/e1fa9900-3fc9-4b57-9dce-c95724c88716,Normal,Adult
Single-nucleus transcriptome data from the dlPFC,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,https://cellxgene.cziscience.com/e/3c361813-5d5e-4868-bfe5-e7591e7b5381.cxg/,https://datasets.cellxgene.cziscience.com/d25fc11f-5790-4a62-af67-e6e58816194e.h5ad,DOI: 10.1126/science.abo7257,,T,T,PMI,other,abbreviations,,Ma et al. (2022) Science,https://cellxgene.cziscience.com/collections/e1fa9900-3fc9-4b57-9dce-c95724c88716,Normal,Adult
Single-nucleus transcriptome data from the dlPFC,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,https://cellxgene.cziscience.com/e/3c361813-5d5e-4868-bfe5-e7591e7b5381.cxg/,https://datasets.cellxgene.cziscience.com/d25fc11f-5790-4a62-af67-e6e58816194e.h5ad,DOI: 10.1126/science.abo7257,,T,T,Source,other,abbreviations,,Ma et al. (2022) Science,https://cellxgene.cziscience.com/collections/e1fa9900-3fc9-4b57-9dce-c95724c88716,Normal,Adult
Single-nucleus transcriptome data from the dlPFC,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,https://cellxgene.cziscience.com/e/3c361813-5d5e-4868-bfe5-e7591e7b5381.cxg/,https://datasets.cellxgene.cziscience.com/d25fc11f-5790-4a62-af67-e6e58816194e.h5ad,DOI: 10.1126/science.abo7257,,T,T,author_age_year,other,abbreviations,,Ma et al. (2022) Science,https://cellxgene.cziscience.com/collections/e1fa9900-3fc9-4b57-9dce-c95724c88716,Normal,Adult
Single-nucleus transcriptome data from the dlPFC,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,https://cellxgene.cziscience.com/e/3c361813-5d5e-4868-bfe5-e7591e7b5381.cxg/,https://datasets.cellxgene.cziscience.com/d25fc11f-5790-4a62-af67-e6e58816194e.h5ad,DOI: 10.1126/science.abo7257,,T,T,tech_rep,other,abbreviations,,Ma et al. (2022) Science,https://cellxgene.cziscience.com/collections/e1fa9900-3fc9-4b57-9dce-c95724c88716,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,clust_annot,cell types,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,cell_type_annot,cell types,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,age,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,center_x,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,center_y,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,fov,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,max_x,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,max_y,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,min_x,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,min_y,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_MERFISH,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/cb34cb2d-aee2-4272-86ed-f8e1af870e52.cxg/,https://datasets.cellxgene.cziscience.com/2330673b-b5dc-4690-bbbe-8f409362df31.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,slice,other,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
BrainAgingSpatialAtlas_Imputed,Molecular and spatial signatures of mouse brain aging at single-cell resolution,https://cellxgene.cziscience.com/e/e9a7ead8-c994-4178-b4e4-db951f1bd31a.cxg/,https://datasets.cellxgene.cziscience.com/f44ed5dd-9f5b-4cf4-b6c3-5874ee8ab2f0.h5ad,https://doi.org/10.1016/j.cell.2022.12.010,,T,T,clust_annot,cell types,abbreviations,,Allen et al. (2022) Cell,https://cellxgene.cziscience.com/collections/31937775-0602-4e52-a799-b6acdd2bac2e,Normal,Adult
