Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
Skin,Transcriptional Programming of Normal and Inflamed Human Epidermis at Single-Cell Resolution,https://cellxgene.cziscience.com/e/f512b8b6-369d-4a85-a695-116e0806857f.cxg/,https://datasets.cellxgene.cziscience.com/bc335baf-8218-4db0-bdbf-efc3750f99a9.h5ad,DOI: 10.1016/j.celrep.2018.09.006,T,T,T,Re-annotation,Cell types,"Normal, abbreviations",,Cheng et al. (2018) Cell Reports,https://cellxgene.cziscience.com/collections/43d4bb39-21af-4d05-b973-4c1fed7b916c,Both,Adult
Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming,Single-cell transcriptomes of the human skin reveal age-related loss of fibroblast priming,https://cellxgene.cziscience.com/e/124744b8-4681-474a-9894-683896122708.cxg/,https://datasets.cellxgene.cziscience.com/bea5aacc-7625-4d7c-a3bd-88f9f9cdcec2.h5ad,DOI: 10.1038/s42003-020-0922-4,T,T,T,Celltype,Cell types,"Normal, abbreviations",,"Solé-Boldo et al. (2020) Commun Biol",https://cellxgene.cziscience.com/collections/c353707f-09a4-4f12-92a0-cb741e57e5f0,Normal,Adult
UMAP visualization of all 12 datasets,"Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin",https://cellxgene.cziscience.com/e/de94c504-4b58-4f42-b68d-74a8e4892f0e.cxg/,https://datasets.cellxgene.cziscience.com/4d3469a7-339f-40b3-92a3-22f7043545f8.h5ad,DOI: 10.1016/j.celrep.2023.111994,T,T,T,author_cell_type,Cell types,Normal,,"Wiedemann et al. (2023) Cell Reports",https://cellxgene.cziscience.com/collections/6d203948-a779-4b69-9b3f-1ee1dadc3980,Normal,Adult
